epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,33167.7,0.96731,0.86813,1.40591,0.6375,0.55286,0.57766,0.31506,1.58914,1.48974,2.06035,0.000424399,0.000424399,0.000424399
66,33729.8,0.95774,0.87527,1.40252,0.61555,0.54731,0.55159,0.29341,1.62612,1.54838,2.11489,0.000404983,0.000404983,0.000404983
67,34325,0.93701,0.855,1.39044,0.64487,0.53555,0.57138,0.30283,1.64992,1.47517,2.15441,0.000385567,0.000385567,0.000385567
68,34951.4,0.94083,0.83927,1.38267,0.71437,0.53513,0.58142,0.31239,1.59987,1.46552,2.1026,0.000366152,0.000366152,0.000366152
69,35527.6,0.92368,0.8277,1.37662,0.65562,0.56276,0.59271,0.31156,1.61713,1.41245,2.13391,0.000346736,0.000346736,0.000346736
70,35843.8,0.91097,0.81167,1.35936,0.63007,0.59057,0.57555,0.30859,1.59393,1.49823,2.0947,0.00032732,0.00032732,0.00032732
71,36675.6,0.90525,0.82302,1.36438,0.71905,0.54282,0.59382,0.32097,1.57759,1.48625,2.08524,0.000307905,0.000307905,0.000307905
72,37220.8,0.90236,0.81122,1.35666,0.68565,0.57166,0.58994,0.32051,1.56687,1.44425,2.11443,0.000288489,0.000288489,0.000288489
73,37856.8,0.89809,0.80402,1.35144,0.70578,0.53443,0.57269,0.31212,1.58339,1.49549,2.12963,0.000269073,0.000269073,0.000269073
74,38237.6,0.87887,0.76385,1.33485,0.67642,0.51804,0.53928,0.29718,1.6244,1.57269,2.14687,0.000249658,0.000249658,0.000249658
75,38835.5,0.88161,0.76923,1.34074,0.65122,0.57389,0.58472,0.32397,1.58652,1.47963,2.11496,0.000230242,0.000230242,0.000230242
76,39350.7,0.80873,0.60416,1.33284,0.69983,0.55284,0.58113,0.3192,1.60984,1.51374,2.11809,0.000210826,0.000210826,0.000210826
77,39895.2,0.77733,0.55623,1.3036,0.72775,0.51135,0.58825,0.32398,1.59023,1.43283,2.12826,0.000191411,0.000191411,0.000191411
78,40598.3,0.75978,0.54955,1.28767,0.74814,0.52155,0.58845,0.31688,1.62915,1.49053,2.16202,0.000171995,0.000171995,0.000171995
79,40985.7,0.74381,0.52102,1.2618,0.72204,0.51301,0.56392,0.31494,1.59515,1.50461,2.16358,0.00015258,0.00015258,0.00015258
80,41246.7,0.71937,0.50255,1.2579,0.67686,0.56033,0.58136,0.31375,1.63152,1.50169,2.2046,0.000133164,0.000133164,0.000133164
81,41674.6,0.70905,0.49702,1.24178,0.72236,0.52795,0.57821,0.31571,1.5943,1.46956,2.17115,0.000113748,0.000113748,0.000113748
82,42151.8,0.6976,0.49191,1.23892,0.68561,0.53324,0.57551,0.32264,1.60595,1.48592,2.18849,9.43326e-05,9.43326e-05,9.43326e-05
83,42733.8,0.66772,0.46828,1.21071,0.71708,0.53015,0.57834,0.32294,1.58994,1.50512,2.18934,7.49169e-05,7.49169e-05,7.49169e-05
84,42990.9,0.67649,0.46581,1.22346,0.69116,0.55316,0.57469,0.32183,1.60351,1.48556,2.19688,5.55013e-05,5.55013e-05,5.55013e-05
85,43539.3,0.66201,0.46086,1.20768,0.70386,0.53071,0.57707,0.31681,1.59668,1.51018,2.18132,3.60856e-05,3.60856e-05,3.60856e-05
